fine_band,n,win_rate,mean_return,median_return
<2.0,2,0.5,-0.014657614599112335,-0.014657614599112335
2.5–3.0,7,0.7142857142857143,0.040006976901799815,0.03646735742085522
3.0–3.25,6,0.8333333333333334,0.07510420171383132,0.08060112104492026
3.25–3.5,5,0.6,0.07004159652251926,0.09802805776672682
4.0–4.5,2,0.0,-0.048869369774094853,-0.048869369774094853
4.5+,1,0.0,-0.013417841470201496,-0.013417841470201496
