config,n_trades,total_invested_eur,strategy_net_eur,spy_net_eur,alpha_eur,roi,alpha_roi,delta_alpha_eur,delta_alpha_pct
ALL (baseline),35,26250.0,432.579576895937,296.6779310330339,135.90164586290314,0.016479221976988076,0.005177205556682024,0.0,0.0
Drop ENTER_NOW,20,15000.0,193.27030836758212,150.70323458193508,42.56707378564706,0.012884687224505474,0.0028378049190431374,-93.33457207725607,-0.0023394006376388867
Drop ENTER_LIMIT,32,24000.0,234.3792004945522,239.15955689484952,-4.780356400297308,0.009765800020606343,-0.00019918151667905448,-140.68200226320045,-0.005376387073361078
Drop AVOID,27,20250.0,449.4386544495688,251.83509200311832,197.60356244645047,0.022194501454299694,0.00975820061463953,61.70191658354733,0.004580995057957506
Drop NEUTRAL,26,19500.0,420.65056737610786,248.33590961919865,172.31465775690927,0.02157182396800553,0.008836649115738938,36.41301189400613,0.0036594435590569137
Keep BUY only,18,13500.0,437.50964492973964,203.49307058928312,234.01657434045651,0.03240812184664738,0.01733456106225604,98.11492847755338,0.012157355505574015
