Date,Adj Close,Close,High,Low,Open,Volume
2026-04-09,679.9099731445312,679.9099731445312,681.1599731445312,673.77001953125,674.8400268554688,57134400
2026-04-10,679.4600219726562,679.4600219726562,682.030029296875,678.4500122070312,681.3200073242188,42253500
2026-04-13,686.0999755859375,686.0999755859375,686.2999877929688,676.5800170898438,677.4099731445312,54185800
2026-04-14,694.4600219726562,694.4600219726562,694.5800170898438,687.6599731445312,687.6900024414062,63480500
2026-04-15,699.9400024414062,699.9400024414062,700.280029296875,694.2000122070312,695.260009765625,58240400
2026-04-16,701.6599731445312,701.6599731445312,702.780029296875,698.530029296875,701.0599975585938,49972400
2026-04-17,710.1400146484375,710.1400146484375,712.3900146484375,705.760009765625,706.1400146484375,70661900
2026-04-20,708.719970703125,708.719970703125,709.9099731445312,706.1400146484375,708.780029296875,43546800
2026-04-21,704.0800170898438,704.0800170898438,711.280029296875,702.6400146484375,710.280029296875,58941400
2026-04-22,711.2100219726562,711.2100219726562,711.4500122070312,708.219970703125,709.1500244140625,42518500
2026-04-23,708.4500122070312,708.4500122070312,712.3599853515625,702.280029296875,709.5,56174000
2026-04-24,713.9400024414062,713.9400024414062,714.469970703125,709.010009765625,710.75,45182000
2026-04-27,715.1699829101562,715.1699829101562,715.6300048828125,712.2999877929688,713.1699829101562,33135900
2026-04-28,711.6900024414062,711.6900024414062,712.8800048828125,709.25,711.8200073242188,43117400
2026-04-29,711.5800170898438,711.5800170898438,712.2000122070312,708.3699951171875,711.0,41859200
2026-04-30,718.6599731445312,718.6599731445312,719.7899780273438,710.4500122070312,714.6300048828125,67240900
2026-05-01,720.6500244140625,720.6500244140625,724.8699951171875,720.469970703125,721.25,43049800
2026-05-04,718.010009765625,718.010009765625,722.1199951171875,714.989990234375,720.0700073242188,51950600
2026-05-05,723.77001953125,723.77001953125,725.0399780273438,721.489990234375,721.77001953125,36933200
2026-05-06,733.8300170898438,733.8300170898438,734.5900268554688,727.8200073242188,728.1599731445312,53288900
2026-05-07,731.5800170898438,731.5800170898438,736.1300048828125,729.75,735.0499877929688,51724600
2026-05-08,737.6199951171875,737.6199951171875,738.0800170898438,734.5700073242188,734.9299926757812,47172700
