group_a,group_b,n_a,n_b,mean_a,mean_b,diff,cohen_d,welch_p,mwu_p,welch_p_fdr,mwu_p_fdr,significant
AVOID,ENTER_NOW,17,8,0.10894349119973061,0.22079469957049563,-0.11185120837076502,-0.5958748056908614,0.16483658894979258,0.09749115872685668,0.49450976684937775,0.14623673809028503,False
AVOID,NEUTRAL,17,8,0.10894349119973061,0.13798605356019839,-0.029042562360467775,-0.10265244094165814,0.8565803523973851,0.36645750131966626,0.8565803523973851,0.36645750131966626,False
ENTER_NOW,NEUTRAL,8,8,0.22079469957049563,0.13798605356019839,0.08280864601029725,0.2581143917954711,0.6177926550545123,0.02384523486995102,0.8565803523973851,0.07153570460985306,False
