intent,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
AVOID,113,0.49557522123893805,0.047034201577048206,0.4050633172767508,0.5863780768132133,0.008461232524519234,0.010351789683960952,-0.012049511788374502,0.02897197683741297,-2.8871880939850245e-08,0.11004103376326727
NEUTRAL,35,0.6857142857142857,0.07846932140863945,0.5202023638793081,0.8144915532573418,0.03938253053027313,0.015880714536875094,0.0071090356086666515,0.0716560254518796,0.03367411509666977,0.09395157421278293
ENTER_LIMIT,16,0.5,0.125,0.27999563610326017,0.7200043638967398,0.03463363896847685,0.026787853292426753,-0.02246331875817597,0.09173059669512967,0.019920934441140622,0.10715141316970701
ENTER_NOW,16,0.75,0.10825317547305482,0.5050168346449122,0.8981793250878696,0.05177880561880174,0.015523269387295344,0.018691740137656128,0.08486587109994737,0.05940063217151409,0.06209307754918138
