bucket,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
<1,183,0.5300546448087432,0.036894230621390835,0.4578699117903654,0.6010035313385301,0.021033090476915862,0.006755071884767056,0.0077047656998474635,0.03436141525398426,0.007384739591312937,0.0913809186800602
1-2,45,0.5333333333333333,0.07436978013636227,0.3907745474012537,0.670648679349887,0.003381636942529018,0.010850204224532067,-0.018485512827685652,0.025248786712743686,0.013523969349326741,0.07278538264742729
2-3,12,0.6666666666666666,0.13608276348795434,0.39062208887279953,0.8618799089087867,0.0454964796518443,0.021466275800345432,-0.0017504748269637216,0.09274343413065232,0.04357737815085424,0.0743613606709691
>=3,3,0.3333333333333333,0.2721655269759087,0.06149194472039621,0.7923403991979522,0.026347785382746597,0.030807155912343658,-0.10620470809767349,0.15890027886316668,-0.0029592707247769823,0.05335955927687514
