group,n,mean,se,ci_low,ci_high,median,std,min,max
ENTER_NOW,44,1.449318181818182,0.1358285971126133,1.1753937095891158,1.723242654047248,1.4500000000000002,0.9009849848457784,0.0,4.0
ENTER_LIMIT,19,1.6463157894736842,0.18759046242902838,1.2522028524175446,2.0404287265298238,1.68,0.8176878685001983,0.0,2.9
NEUTRAL,1,2.0,,,,2.0,,2.0,2.0
