group_a,group_b,n_a,n_b,mean_a,mean_b,diff,cohen_d,welch_p,mwu_p,welch_p_fdr,mwu_p_fdr,significant
AVOID,ENTER_LIMIT,178,50,0.6584269662921348,1.1436000000000002,-0.48517303370786535,-0.7834905002877236,1.71051038156089e-05,2.2868647138683435e-08,5.13153114468267e-05,6.86059414160503e-08,True
AVOID,ENTER_NOW,178,50,0.6584269662921348,1.4734,-0.8149730337078652,-1.1985821936718428,1.0699419181732279e-07,2.219602421892991e-09,6.419651509039368e-07,1.3317614531357946e-08,True
AVOID,NEUTRAL,178,51,0.6584269662921348,0.8862745098039218,-0.22784754351178693,-0.3782842169590883,0.018915942349199397,0.0028444148881612975,0.028373913523799095,0.004266622332241946,True
ENTER_LIMIT,ENTER_NOW,50,50,1.1436000000000002,1.4734,-0.32979999999999987,-0.4140872503752631,0.0412585172740514,0.01843947267973855,0.044991563965632454,0.021564775692140683,True
ENTER_LIMIT,NEUTRAL,50,51,1.1436000000000002,0.8862745098039218,0.2573254901960784,0.40467036815144264,0.044991563965632454,0.021564775692140683,0.044991563965632454,0.021564775692140683,True
ENTER_NOW,NEUTRAL,50,51,1.4734,0.8862745098039218,0.5871254901960783,0.7680343751480015,0.00023322843412246105,0.00020829157787483288,0.00046645686824492205,0.0004165831557496658,True
