name,n,total_invested_eur,total_net_eur,roi,win_rate,mean_return,median_return,min_return,max_return
"BASELINE — no TP/SL, exit day-5 close",18,13500.0,437.50964492973964,0.03240812184664738,0.5555555555555556,0.040408121846647375,0.04098847117424585,-0.04016299353212082,0.1748718522552751
HARD TP=21% SL=9.5% (prior optimum),18,13500.0,521.739431620497,0.038647365305222,0.5555555555555556,0.04664736530522199,0.04098847117424585,-0.04016299353212082,0.21
TRAILING STOP — best (trail=6.0%),18,13500.0,348.36118556736807,0.025804532264249485,0.5,0.03380453226424948,0.019882046793938866,-0.04398311891932889,0.1748718522552751
BREAKEVEN-TRAIL — best (trigger=15.0%),18,13500.0,440.79783196605325,0.032651691256744685,0.5555555555555556,0.040651691256744685,0.04098847117424585,-0.04016299353212082,0.1748718522552751
TIME-DECAY — best (day=3 threshold=-2.0%),18,13500.0,364.25467644708937,0.026981827884969584,0.5,0.034981827884969584,0.01823366037053689,-0.04016299353212082,0.1748718522552751
MULTI-TIER TP — best (TP1=10.0%),18,13500.0,446.4183077365864,0.0330680227953027,0.5555555555555556,0.0410680227953027,0.04098847117424585,-0.04016299353212082,0.155
ORACLE (hindsight: exit at max close),18,13500.0,646.6850878952528,0.04790259910335205,0.8333333333333334,0.05590259910335206,0.046015540096834014,-0.03532827267599684,0.1748718522552751
