group,n,mean,se,ci_low,ci_high,median,std,min,max
BUY_LIMIT,32,1.6340625,0.13141434363379673,1.3660411791095135,1.9020838208904864,1.6749999999999998,0.7433917882290949,0.0,3.07
AVOID,24,1.18,0.18377187339001405,0.799838915530783,1.5601610844692169,1.0150000000000001,0.9002946377617765,0.0,2.9
BUY,8,1.9525,0.40209607060999736,1.0016938799654356,2.9033061200345642,2.0,1.137299432867176,0.0,4.0
WATCH,1,0.82,,,,0.82,,0.82,0.82
