group_a,group_b,n_a,n_b,mean_a,mean_b,diff,cohen_d,welch_p,mwu_p,welch_p_fdr,mwu_p_fdr,significant
AVOID,BUY,23,8,1.231304347826087,1.9525,-0.7211956521739129,-0.75812699120921,0.13372930623372736,0.06987114023181377,0.20059395935059104,0.10480671034772066,False
AVOID,BUY_LIMIT,23,32,1.231304347826087,1.6340625,-0.402758152173913,-0.5004991751400505,0.08238536670920721,0.0612547349544826,0.20059395935059104,0.10480671034772066,False
BUY,BUY_LIMIT,8,32,1.9525,1.6340625,0.31843749999999993,0.38360453128760413,0.4718019017602104,0.3698300987987012,0.4718019017602104,0.36983009879870127,False
