group_a,group_b,n_a,n_b,mean_a,mean_b,diff,cohen_d,welch_p,mwu_p,welch_p_fdr,mwu_p_fdr,significant
AVOID,ENTER_LIMIT,156,27,0.037749705388414434,0.018195886452355814,0.01955381893605862,0.07950257245653859,0.44062447255140635,0.9419677962666828,0.5287493670616876,0.9419677962666828,False
AVOID,ENTER_NOW,156,33,0.037749705388414434,0.12540506074019736,-0.08765535535178293,-0.26803473073945583,0.3655658067078027,0.2736992317946705,0.5287493670616876,0.7613258455946778,False
AVOID,NEUTRAL,156,56,0.037749705388414434,0.012189795012952883,0.02555991037546155,0.1108275287810258,0.28250934995961524,0.5540492921942435,0.5287493670616876,0.8310739382913652,False
ENTER_LIMIT,ENTER_NOW,27,33,0.018195886452355814,0.12540506074019736,-0.10720917428784155,-0.26744271107728457,0.2636191951966324,0.38066292279733893,0.5287493670616876,0.7613258455946778,False
ENTER_LIMIT,NEUTRAL,27,56,0.018195886452355814,0.012189795012952883,0.006006091439402931,0.07716868663434456,0.7333640504064995,0.8004765258841646,0.7333640504064997,0.9419677962666828,False
ENTER_NOW,NEUTRAL,33,56,0.12540506074019736,0.012189795012952883,0.11321526572724448,0.34187677805560324,0.2364528759300256,0.17278053347378264,0.5287493670616876,0.7613258455946778,False
