signal,n,pearson_r,pearson_p,spearman_rho,spearman_p
DR R/R,37,-0.19936773976758548,0.23680713312257137,-0.1528037488348501,0.36658670878367994
Drop %,268,0.056355208860332386,0.3580993512879898,-0.11996112287337661,0.049790597650753714
SA Rank,198,-0.1549579800879881,0.029270039152243632,-0.12688712226938137,0.07485325131648772
SA Quant,198,0.10593566567900675,0.1374400845421526,0.11052940909247674,0.1210952377810855
SA Analyst,193,0.2033189491814461,0.004569231377140809,0.13688742110716334,0.05765751428658268
Wall Street,198,0.24344055185954144,0.0005483310865689199,0.13978353457377674,0.04951515561634751
Past 6M perf,198,0.18903375852424642,0.00764884583212263,0.04157558199514901,0.5608578700292064
