bucket,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
<1,126,0.5238095238095238,0.04449300877630064,0.4371972120523062,0.6090129896390177,0.04108831264701154,0.026003813425613555,-0.010376461439949691,0.09255308673397278,0.012550619708147352,0.29189208176471504
1-2,26,0.5384615384615384,0.09776752450803732,0.35457938746858797,0.7124414646960878,0.11512204608433718,0.1204382040532456,-0.13292507838769016,0.36316917055636455,0.01560269508014521,0.6141167526495689
2-3,10,0.6,0.15491933384829668,0.31267376973365824,0.8318196702937638,0.3548180765962209,0.3059355865992845,-0.33725630200132095,1.0468924551937628,0.039474795990006,0.9674532709534259
>=3,2,1.0,0.0,0.34238022750665303,1.0,0.02485124297779657,0.015973489851818443,-0.17811118943472895,0.22781367539032207,0.02485124297779657,0.02258992598687064
