deep_research_verdict,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
,231,0.5194805194805194,0.03287260661449035,0.45526107191413334,0.5830626552726904,0.029147629288217146,0.01459078378418214,0.00039894440127299924,0.05789631417516129,0.004397955544989951,0.2217607142888249
BUY_LIMIT,18,0.6666666666666666,0.11111111111111112,0.43749467295945105,0.837212252491663,0.04612438155981555,0.01615469752106243,0.012040949074694968,0.08020781404493613,0.04591139019872177,0.06853857699096451
AVOID,16,0.625,0.12103072956898178,0.38641040545502714,0.8151876744113636,0.21921599413456497,0.19193082410321263,-0.18987487367905395,0.6283068619481839,0.02322961444352313,0.7677232964128505
BUY,6,0.3333333333333333,0.19245008972987526,0.09677141110578041,0.700006684861608,0.01786868036501835,0.01909896583849734,-0.031226774298861396,0.0669641350288981,-0.0030750442469104407,0.04678272091916555
WATCH,1,1.0,0.0,0.20654931437723745,1.0,0.023229277960144585,,,,0.023229277960144585,
