bucket,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
-8 to -5,103,0.5339805825242718,0.04915255823141194,0.43816142979955147,0.6273562079907344,0.013923838842554439,0.008328216145193882,-0.002595138393166963,0.03044281607827584,0.013003133767898696,0.08452216258822302
-15 to -8,59,0.6949152542372882,0.059944613371832926,0.5685367346805482,0.7974636801988394,0.05253014108263227,0.013907360178096947,0.024691535055830414,0.08036874710943413,0.06936633023797781,0.10682446049606657
<= -15%,22,0.36363636363636365,0.10255928633050294,0.19733204670366125,0.5704829190986899,0.5245825564991011,0.26546598437354657,-0.027484179908383588,1.0766492929065858,-2.8871880939850245e-08,1.245145836802723
> -5%,0,,,,,,,,,,
