fine_band,n,win_rate,mean_return,median_return
<2.0,15,0.4666666666666667,-0.0027918888763944277,-1.7057094088422966e-08
2.0–2.5,4,0.75,0.05511424697255207,0.06520319346020073
2.5–3.0,59,0.5254237288135594,-0.0028468539797700445,0.004397955544989951
3.0–3.25,43,0.6046511627906976,0.031466604791706924,0.010742633105020646
3.25–3.5,46,0.5869565217391305,0.04539422639701722,0.03722090435750691
3.5–4.0,4,0.5,-0.0033331719007562606,0.0020213261178790402
4.0–4.5,7,0.42857142857142855,-0.005421484568939483,-0.04016299353212082
4.5+,20,0.6,0.03709646689354705,0.011951360529253496
