bucket,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
1-2,15,0.4666666666666667,0.12881223774390613,0.24809535365737387,0.698830199745016,0.010103818875058007,0.010749400597516017,-0.012951352429580608,0.033158990179696625,-0.003190817769043899,0.04163224949589159
<1,14,0.7142857142857143,0.1207363221040738,0.4535091567010681,0.8827862135542308,0.2678866215063252,0.21797946624068024,-0.20302938511214186,0.7388026281247922,0.0606286678634357,0.8156044800244822
2-3,7,0.7142857142857143,0.17074694419062766,0.35893445183261935,0.9177810759959433,0.04736523358321235,0.025309280031582008,-0.014564343670012386,0.10929481083643709,0.05068739888085326,0.06696206082565896
>=3,2,0.5,0.3535533905932738,0.09453120573423074,0.9054687942657693,0.04248943051027581,0.04544870123505279,-0.5349910723872392,0.6199699334077907,0.04248943051027581,0.06427416967885449
