deep_research_verdict,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
,159,0.5345911949685535,0.03955757282099534,0.45715936658418393,0.6103909985357463,0.01577026130850711,0.008429637165407513,-0.0008790482326653526,0.03241957084967957,0.014241434103195233,0.10629368022477496
BUY_LIMIT,10,0.7,0.14491376746189438,0.39677814746114537,0.8922087325936989,0.06064407938263505,0.030166679845932087,-0.0075976915103666,0.1288858502756367,0.05692181772426181,0.09539541775824273
AVOID,7,0.7142857142857143,0.17074694419062766,0.35893445183261935,0.9177810759959433,0.05783047730955163,0.017175402720340863,0.015803780844962034,0.09985717377414123,0.06120766572524734,0.04544184426540417
BUY,4,0.75,0.21650635094610965,0.30064184258240184,0.9544127391902995,0.0495953185452121,0.04266381925018928,-0.08617999539686838,0.18537063248729257,0.011777728462487261,0.08532763850037856
