intent,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
AVOID,17,0.5882352941176471,0.11936462498726878,0.3600544264299978,0.7838894320978518,0.10894349119973061,0.047170920116873474,0.008945607674839526,0.2089413747246217,0.07971652616326853,0.1944906860994423
ENTER_NOW,8,1.0,0.0,0.6755924351161198,1.0,0.22079469957049563,0.0605294263514292,0.0776653500849068,0.36392404905608444,0.1818133102455196,0.17120307133770918
NEUTRAL,8,0.625,0.1711632992203644,0.30574239460262737,0.8631557141764026,0.13798605356019839,0.14855233775213023,-0.21328440691929107,0.48925651403968784,0.015482844173885242,0.4201694615425826
ENTER_LIMIT,4,1.0,0.0,0.5101091635454027,1.0,0.3701339547043051,0.2679866816305362,-0.48271927011618476,1.2229871795247949,0.14232601852423193,0.5359733632610724
