group,n,mean,se,ci_low,ci_high,median,std,min,max
BUY_LIMIT,32,1.6340625,0.13141434363379673,1.3660411791095135,1.9020838208904864,1.6749999999999998,0.7433917882290949,0.0,3.07
AVOID,26,1.2815384615384615,0.16705106755599508,0.9374903476282946,1.6255865754486285,1.275,0.8517966532345255,0.0,2.9
BUY,9,1.8688888888888888,0.36433899219623456,1.0287216662682537,2.7090561115095237,2.0,1.0930169765887037,0.0,4.0
WATCH,1,0.82,,,,0.82,,0.82,0.82
