group_a,group_b,n_a,n_b,mean_a,mean_b,diff,cohen_d,welch_p,mwu_p,welch_p_fdr,mwu_p_fdr,significant
AVOID,BUY,27,9,1.234074074074074,1.8688888888888888,-0.6348148148148147,-0.6840947354089988,0.14034268468765712,0.09161490641679952,0.2105140270314857,0.13742235962519928,False
AVOID,BUY_LIMIT,27,32,1.234074074074074,1.6340625,-0.3999884259259259,-0.497455436582169,0.06604638006747665,0.052859594712308604,0.19813914020242995,0.13742235962519928,False
BUY,BUY_LIMIT,9,32,1.8688888888888888,1.6340625,0.23482638888888885,0.28386546393444967,0.5576064912250277,0.5812013143600696,0.5576064912250277,0.5812013143600696,False
