sym,decision_date,intent,recommendation,risk_reward_ratio,Rank,quant_score,sa_score,ws_score,perf_6m,return_1w,return_2w,return_4w
LRLCY,2026-05-04,NEUTRAL,WATCH,0.2,2924,2.78,3.5,4.0,0.0355,,,
ODFL,2026-05-04,ENTER_NOW,BUY,0.87,1486,3.27,3.0,3.4,0.4177,,,
XPO,2026-05-04,ENTER_LIMIT,BUY_LIMIT,1.1,1056,3.42,2.0,4.2,0.4527,,,
MHK,2026-05-04,AVOID,AVOID,2.6,3208,2.68,3.0,3.56,-0.0447,,,
SCGLY,2026-05-04,AVOID,AVOID,0.4,1144,3.39,3.5,4.0,0.2722,,,
CNA,2026-05-04,NEUTRAL,PENDING,,2973,2.76,3.0,2.0,-0.0374,,,
CNA,2026-05-05,AVOID,AVOID,0.5,2973,2.76,3.0,2.0,-0.0374,,,
DHLGY,2026-05-05,AVOID,AVOID,0.1,1036,3.42,4.0,3.5,0.0997,,,
ENGIY,2026-05-05,NEUTRAL,WATCH,1.1,1513,3.26,3.0,4.0,0.2883,,,
SAIA,2026-05-05,NEUTRAL,WATCH,0.7,652,4.04,3.0,3.6,0.5933,,,
AEIS,2026-05-05,ENTER_LIMIT,BUY_LIMIT,0.8,987,3.44,3.5,4.3,0.6483,,,
ALSN,2026-05-05,AVOID,AVOID,1.8,2660,2.87,3.5,3.5,0.5153,,,
ETN,2026-05-05,ENTER_LIMIT,BUY_LIMIT,0.6,2150,3.04,3.25,4.26,0.0742,,,
FISV,2026-05-05,AVOID,AVOID,0.2,2862,2.8,3.71,3.36,-0.129,,,
FMS,2026-05-05,AVOID,AVOID,0.8,3076,2.73,4.0,3.14,-0.0821,,,
HII,2026-05-05,NEUTRAL,WATCH,1.3,2589,2.89,4.0,3.75,0.0217,,,
POOL,2026-05-05,ENTER_LIMIT,BUY_LIMIT,2.3,4247,1.26,2.66,3.64,-0.2549,,,
PSKY,2026-05-05,AVOID,AVOID,0.4,3020,2.74,3.14,2.7,-0.2656,,,
PYPL,2026-05-05,AVOID,AVOID,1.2,1991,3.1,3.56,3.11,-0.3149,,,
SHOP,2026-05-05,ENTER_LIMIT,BUY_LIMIT,0.7,2446,2.94,3.8,4.25,-0.2756,,,
WLK,2026-05-05,AVOID,AVOID,0.5,1208,3.37,3.0,3.71,0.445,,,
FN,2026-05-05,NEUTRAL,PENDING,,1130,3.39,3.0,4.22,0.3833,,,
AMTM,2026-05-05,ENTER_NOW,BUY,1.3,2572,2.9,4.5,3.72,0.0946,,,
AVAV,2026-05-05,AVOID,AVOID,0.7,4234,1.28,3.77,4.36,-0.4895,,,
FDS,2026-05-05,AVOID,AVOID,,2058,3.07,4.28,2.83,-0.1485,,,
FN,2026-05-05,NEUTRAL,PENDING,,1130,3.39,3.0,4.22,0.3833,,,
ALC,2026-05-06,ENTER_NOW,BUY,2.4,2334,2.98,4.0,4.4,-0.1543,,,
ANET,2026-05-06,ENTER_NOW,BUY,1.56,1178,3.38,4.09,4.68,0.0529,,,
CART,2026-05-06,ENTER_LIMIT,BUY_LIMIT,1.72,569,4.29,3.5,3.96,0.098,,,
CDW,2026-05-06,ENTER_LIMIT,BUY_LIMIT,1.2,2707,2.85,3.0,4.09,-0.2644,,,
CE,2026-05-06,ENTER_LIMIT,BUY_LIMIT,2.6,1966,3.11,4.0,4.06,0.3843,,,
CLH,2026-05-06,ENTER_LIMIT,BUY_LIMIT,1.1,622,4.13,3.5,4.28,0.4002,,,
COR,2026-05-06,ENTER_NOW,BUY,1.76,2177,3.03,4.0,4.42,-0.2762,,,
CPNG,2026-05-06,AVOID,AVOID,0.8,3048,2.73,3.66,4.11,-0.412,,,
CRC,2026-05-06,ENTER_LIMIT,BUY_LIMIT,2.76,399,4.65,4.0,4.58,0.2762,,,
EQNR,2026-05-06,AVOID,AVOID,0.3,884,3.48,3.5,2.66,0.5074,,,
GOLF,2026-05-06,ENTER_NOW,BUY,1.2,2532,2.91,3.0,3.0,0.1494,,,
NICE,2026-05-06,ENTER_LIMIT,BUY_LIMIT,1.67,3225,2.67,4.0,3.93,-0.2521,,,
PRIM,2026-05-06,AVOID,AVOID,1.0,2621,2.88,4.0,4.0,-0.1646,,,
SWKS,2026-05-06,NEUTRAL,WATCH,1.0,1363,3.31,3.5,3.28,-0.0402,,,
TIMB,2026-05-06,NEUTRAL,WATCH,0.5,1518,3.26,3.0,3.0,0.0389,,,
APA,2026-05-07,AVOID,AVOID,0.7,896,3.47,4.25,3.14,0.4922,,,
BROS,2026-05-07,AVOID,AVOID,0.5,2706,2.85,3.5,4.73,-0.0135,,,
CRWV,2026-05-08,ENTER_LIMIT,BUY_LIMIT,0.5,2223,3.02,3.85,4.14,0.0975,,,
EMBJ,2026-05-08,ENTER_LIMIT,BUY_LIMIT,1.9,2533,2.91,4.5,4.57,-0.0666,,,
EXPE,2026-05-08,ENTER_NOW,BUY,1.8,591,4.22,4.0,3.8,-0.1095,,,
FIS,2026-05-08,ENTER_NOW,BUY,2.6,3769,2.43,3.5,4.03,-0.3287,,,
FLR,2026-05-08,ENTER_LIMIT,BUY_LIMIT,1.61,463,4.55,3.5,3.88,-0.0527,,,
GMAB,2026-05-08,ENTER_LIMIT,BUY_LIMIT,0.4,1282,3.34,4.0,4.63,-0.0778,,,
HUBS,2026-05-08,ENTER_LIMIT,BUY_LIMIT,2.4,2540,2.91,3.6,4.44,-0.5047,,,
IBP,2026-05-08,AVOID,AVOID,0.7,3250,2.67,3.0,3.0,-0.1465,,,
MELI,2026-05-08,ENTER_LIMIT,BUY_LIMIT,1.68,3109,2.71,4.41,4.6,-0.2258,,,
NET,2026-05-08,AVOID,AVOID,0.2,2132,3.05,3.33,4.05,-0.1576,,,
OSK,2026-05-08,AVOID,AVOID,0.4,2830,2.81,4.0,4.05,0.1359,,,
TOST,2026-05-08,ENTER_NOW,BUY,2.11,1904,3.13,3.88,4.17,-0.323,,,
APP,2026-05-08,ENTER_LIMIT,BUY_LIMIT,0.0,379,4.68,4.22,4.53,-0.2442,,,
ESE,2026-05-08,NEUTRAL,WATCH,0.6,1108,3.4,2.5,4.66,0.4019,,,
MSI,2026-05-08,ENTER_NOW,BUY,1.71,1311,3.33,3.0,4.35,-0.0173,,,
MTD,2026-05-08,AVOID,AVOID,0.8,1380,3.31,2.0,3.92,-0.2188,,,
NTRA,2026-05-08,ENTER_LIMIT,BUY_LIMIT,1.2,2471,2.93,4.0,4.57,-0.0267,,,
RNMBY,2026-05-08,NEUTRAL,WATCH,1.2,4151,1.41,3.75,4.0,-0.2969,,,
SYM,2026-05-08,ENTER_NOW,BUY,2.03,514,4.45,4.0,3.7,-0.2509,,,
UI,2026-05-08,ENTER_NOW,BUY,1.03,1000,3.44,3.0,3.0,0.3756,,,
UUUU,2026-05-08,AVOID,AVOID,0.6,1404,3.3,3.8,4.62,0.3661,,,
G,2026-05-08,NEUTRAL,PENDING,,1723,3.19,4.0,3.75,-0.2682,,,
