sym,decision_date,intent,recommendation,risk_reward_ratio,Rank,quant_score,sa_score,ws_score,perf_6m,return_1w,return_2w,return_4w
ASTS,2026-04-14,NEUTRAL,PENDING,,2551,2.91,3.46,3.4,0.0847,-0.09664669598926866,-0.18843855421228436,
ASTS,2026-04-14,AVOID,AVOID,0.1,2551,2.91,3.46,3.4,0.0847,-0.09664669598926866,-0.18843855421228436,
DOCN,2026-04-14,AVOID,AVOID,0.9,917,3.47,3.8,4.21,2.3135,0.28944859202821854,0.2849557148184883,
KMX,2026-04-14,AVOID,AVOID,0.2,2703,2.85,3.66,3.0,0.2466,-0.06289004043381308,-0.07249161330656648,
RIG,2026-04-14,NEUTRAL,WATCH,0.4,461,4.55,3.83,3.23,0.608,-0.019448915602129118,0.10048621748023134,
VAL,2026-04-14,NEUTRAL,WATCH,1.6,1602,3.23,3.66,2.66,0.7464,-0.018911024420536885,0.10824911662540071,
AGCO,2026-04-15,AVOID,AVOID,0.8,2408,2.95,3.0,3.33,0.1116,0.02643342040687129,-0.006640910584870975,
BAP,2026-04-15,AVOID,AVOID,0.2,493,4.51,3.0,4.21,0.2735,0.013269112123066891,-0.03644461341272449,
CNH,2026-04-15,AVOID,AVOID,0.1,2823,2.81,2.5,3.94,0.1346,-0.018744117429352516,-0.05529522739399674,
HESAY,2026-04-15,ENTER_LIMIT,BUY_LIMIT,0.9,4099,1.49,3.4,4.66,-0.1799,-0.0018060012990599786,-0.035448954201335196,
IFS,2026-04-15,AVOID,AVOID,0.2,474,4.53,4.0,4.66,0.0649,-0.022307192314347322,-0.05566176411855847,
CARR,2026-04-15,AVOID,AVOID,0.3,2601,2.89,3.0,4.0,0.1621,0.045509421235630204,0.06429928768258575,
SWK,2026-04-15,AVOID,AVOID,1.0,2506,2.92,3.25,3.55,0.1875,0.12156451512322665,0.12437957462994936,
TEX,2026-04-15,NEUTRAL,WATCH,0.8,3013,2.75,4.0,3.84,0.3826,0.03614460161702046,0.030035648446282936,
OSK,2026-04-15,AVOID,AVOID,0.4,2830,2.81,4.0,4.05,0.1359,0.05345349539635388,0.04614179823374384,
LYV,2026-04-15,AVOID,AVOID,0.3,2610,2.88,3.0,4.45,0.1621,-0.005082969483898389,-0.014734237017034408,
ABT,2026-04-16,AVOID,AVOID,0.6,2925,2.78,4.25,4.32,-0.3327,-0.020857561070051975,-0.03875065203253212,
IBRX,2026-04-16,AVOID,AVOID,0.4,985,3.44,3.0,4.75,2.9953,0.12345673256286704,-0.02606311321912643,
IESC,2026-04-16,AVOID,AVOID,0.7,309,4.76,3.0,3.0,0.6708,0.193634403580183,0.31155823305743213,
RYAAY,2026-04-16,AVOID,AVOID,0.3,3172,2.69,4.0,4.4,-0.09,-0.02242844258631551,-0.06075446376421923,
SCHW,2026-04-16,ENTER_LIMIT,BUY_LIMIT,0.8,1070,3.41,3.75,4.31,-0.0696,-0.06360574801026413,-0.03496209572821774,
AA,2026-04-17,AVOID,AVOID,0.1,243,4.81,3.66,4.07,0.6929,0.009250089996643493,-0.04242793260277909,
AVAV,2026-04-17,AVOID,AVOID,0.3,4234,1.28,3.77,4.36,-0.4895,0.05334334431306682,-0.007352145429305991,
CE,2026-04-17,AVOID,AVOID,0.3,1966,3.11,4.0,4.06,0.3843,0.047704399068993784,0.11604692851383185,
CF,2026-04-17,AVOID,AVOID,0.2,1068,3.41,4.0,3.04,0.4022,0.0764163986396883,0.09208244640532512,
CHRD,2026-04-17,ENTER_LIMIT,BUY_LIMIT,0.0,957,3.45,5.0,4.52,0.5611,0.09802805776672682,0.1771484018387872,
CNQ,2026-04-17,NEUTRAL,WATCH,0.6,127,4.9,3.87,3.77,0.4065,0.031355674984655406,0.09476626843391195,
DOW,2026-04-17,AVOID,AVOID,1.0,927,3.46,3.5,3.55,0.6541,0.08549767927592608,0.1312649421740093,
EQNR,2026-04-17,AVOID,AVOID,,884,3.48,3.5,2.66,0.5074,0.07129743404514995,0.1212762695036752,
LYB,2026-04-17,AVOID,AVOID,0.2,103,4.92,3.8,3.11,0.6681,0.055597563779755756,0.13295056449266557,
NFLX,2026-04-17,AVOID,AVOID,0.3,950,3.45,3.57,4.32,-0.2073,-0.05194602900973023,-0.05584331512646783,
SM,2026-04-17,NEUTRAL,WATCH,0.6,202,4.84,4.66,3.61,0.6105,0.10543501773172681,0.17034758261396166,
SSL,2026-04-17,AVOID,AVOID,0.6,903,3.47,4.0,3.0,0.9257,0.05708417951203953,0.1252566578451857,
VG,2026-04-17,AVOID,AVOID,0.4,1360,3.31,4.0,3.68,0.433,0.03884763147361618,0.1113050669782914,
VLO,2026-04-17,AVOID,AVOID,0.8,112,4.91,4.2,3.6,0.3726,0.05454954662873069,0.10382291579337131,
YARIY,2026-04-17,AVOID,AVOID,0.6,1018,3.43,4.0,2.0,0.6356,0.05577831150100826,0.05942396886410438,
ASTS,2026-04-20,AVOID,AVOID,0.7,2551,2.91,3.46,3.4,0.0847,0.0018817331547878874,-0.11193303088474758,
NCLH,2026-04-20,AVOID,AVOID,0.3,2935,2.77,3.6,3.91,-0.1044,-0.07477108168577737,-0.12512712294305936,
MBGYY,2026-04-20,AVOID,AVOID,0.1,1841,3.15,3.5,2.5,-0.1312,-0.05508197721887807,-0.08852461517834273,
BVN,2026-04-21,ENTER_LIMIT,BUY_LIMIT,1.36,502,4.49,4.0,3.0,0.5807,-0.05757574601606889,-0.03090910478071733,
FTAI,2026-04-21,AVOID,AVOID,0.4,2182,3.03,4.66,4.6,0.6481,-0.11547911547911544,0.0006961307010135601,
NOC,2026-04-21,AVOID,AVOID,2.9,2511,2.92,3.83,3.87,-0.0336,-0.06632301499645522,-0.09737992036076125,
RYCEY,2026-04-21,AVOID,AVOID,,1118,3.4,4.25,4.0,0.096,-0.04520123366600949,0.014241434103195233,
TSCO,2026-04-21,NEUTRAL,WATCH,1.8,4108,1.47,3.33,3.96,-0.4352,-0.14033816056550985,-0.2106280119522758,
