strategy,symbol,decision_date,intent,rr,entry,exit_reason,exit_day,exit_return,gross_eur,net_eur
TRAILING STOP — best (trail=6.0%),IAG,2026-04-21,ENTER_NOW,2.33,17.18,TRAIL_SL,2,-0.03866125069064231,-28.995938017981732,-34.99593801798173
TRAILING STOP — best (trail=6.0%),NMR,2026-04-24,ENTER_NOW,2.0,7.835,TIMEOUT,5,-0.003190817769043899,-2.3931133267829243,-8.393113326782924
TRAILING STOP — best (trail=6.0%),LBRDP,2026-04-24,ENTER_NOW,4.0,21.965,TIMEOUT,5,-0.0029592707247769823,-2.2194530435827367,-8.219453043582737
TRAILING STOP — best (trail=6.0%),DPZ,2026-04-27,ENTER_NOW,1.96,333.4501,TIMEOUT,5,-0.009087076513894118,-6.815307385420589,-12.815307385420589
TRAILING STOP — best (trail=6.0%),ZBH,2026-04-28,ENTER_NOW,2.16,86.05,TIMEOUT,5,-0.03532827267599684,-26.496204506997632,-32.49620450699763
TRAILING STOP — best (trail=6.0%),ALLE,2026-04-28,ENTER_NOW,2.0,137.33,TRAIL_SL,4,-0.04398311891932889,-32.987339189496666,-38.987339189496666
TRAILING STOP — best (trail=6.0%),REGN,2026-04-29,ENTER_NOW,2.35,686.265,TIMEOUT,5,0.05068739888085326,38.01554916063994,32.01554916063994
TRAILING STOP — best (trail=6.0%),CAH,2026-04-30,ENTER_NOW,1.63,188.3,TRAIL_SL,4,0.00040358078967234944,0.30268559225426206,-5.697314407745738
TRAILING STOP — best (trail=6.0%),WTW,2026-04-30,ENTER_NOW,2.24,248.99,TIMEOUT,5,0.03646735742085522,27.350518065641413,21.350518065641413
TRAILING STOP — best (trail=6.0%),JLL,2026-04-30,ENTER_NOW,1.75,313.78,TIMEOUT,5,0.045509584927636494,34.13218869572737,28.132188695727372
TRAILING STOP — best (trail=6.0%),CLX,2026-05-01,ENTER_LIMIT,1.86,87.805,TIMEOUT,5,0.049598583931545676,37.19893794865926,31.198937948659257
BREAKEVEN-TRAIL — best (trigger=15.0%),ADSK,2026-04-09,ENTER_NOW,2.3,218.6,TIMEOUT,5,0.11235134337652965,84.26350753239724,78.26350753239724
BREAKEVEN-TRAIL — best (trigger=15.0%),GWRE,2026-04-09,ENTER_LIMIT,1.55,125.795,TIMEOUT,5,0.1058468191132522,79.38511433493915,73.38511433493915
