deep_research_verdict,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
,27,0.6666666666666666,0.09072184232530289,0.47824760507320074,0.8135673850128435,0.14080338658174804,0.053671621958811755,0.030479787625699334,0.2511269855377968,0.04664531378700327,0.27888592847187416
BUY_LIMIT,6,1.0,0.0,0.6096657120978346,1.0,0.3347477432019648,0.17199834102427072,-0.10738806799460576,0.7768835543985354,0.17316610239269858,0.4213081721146742
AVOID,3,1.0,0.0,0.4385029682449546,1.0,0.15247248252410706,0.03830880760018594,-0.012357013068237305,0.31730197811645144,0.14839887139127547,0.0663528011409028
BUY,1,0.0,0.0,0.0,0.7934506856227626,-0.06477415023311492,,,,-0.06477415023311492,
