intent,n_trades,total_invested_eur,strategy_net_eur,spy_net_eur,alpha_eur,roi,alpha_roi,win_rate_net
ENTER_NOW,15,11250.0,239.3092685283549,145.97469645109877,93.33457207725607,0.021271934980298213,0.008296406406867206,0.4666666666666667
ENTER_LIMIT,3,2250.0,198.2003764013848,57.51837413818435,140.68200226320045,0.08808905617839324,0.0625253343392002,1.0
AVOID,8,6000.0,-16.85907755363175,44.842839029915524,-61.70191658354727,-0.002809846258938625,-0.010283652763924546,0.5
NEUTRAL,9,6750.0,11.929009519829094,48.34202141383519,-36.41301189400609,0.0017672606696043102,-0.0053945202805934945,0.5555555555555556
TOTAL,35,26250.0,432.579576895937,296.6779310330339,135.90164586290314,0.016479221976988076,0.005177205556682024,0.5428571428571428
