bucket,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
<1,23,0.6086956521739131,0.10176384751376008,0.4078552239138171,0.7784237720752205,0.0753423439881556,0.031125339511905797,0.010792340645045487,0.1398923473312657,0.020899725783739664,0.14927188440500874
1-2,6,0.8333333333333334,0.15214515486254612,0.43649717781352987,0.9699466302516935,0.09845343762132451,0.03487717904703647,0.008798794684777095,0.18810808055787193,0.12227011744724835,0.0854312923329282
2-3,5,1.0,0.0,0.5655175352168251,1.0,0.4054762212728537,0.21344823394021792,-0.18715108306357903,0.9981035256092865,0.14839887139127547,0.47728476076760507
>=3,0,,,,,,,,,,
