group,n,mean,se,ci_low,ci_high,median,std,min,max
AVOID,176,0.6431818181818181,0.04438315250950983,0.5555866752884266,0.7307769610752095,0.5,0.5888090555486591,0.0,5.4
NEUTRAL,51,0.8862745098039218,0.08369035401784634,0.7181774866464379,1.0543715329614056,0.7,0.5976686733778632,0.1,2.8
ENTER_LIMIT,50,1.1436000000000002,0.09512773796644303,0.9524336534185173,1.334766346581483,1.0,0.6726546859500886,0.0,2.9
ENTER_NOW,49,1.503469387755102,0.12673743246353728,1.2486467009518603,1.7582920745583437,1.56,0.887162027244761,0.0,4.0
