group_a,group_b,n_a,n_b,mean_a,mean_b,diff,cohen_d,welch_p,mwu_p,welch_p_fdr,mwu_p_fdr,significant
AVOID,ENTER_NOW,18,8,0.27451806127768924,0.22079469957049563,0.053723361707193606,0.08677402536715609,0.7705648791191423,0.17724280296362674,0.7705648791191423,0.2658642044454401,False
AVOID,NEUTRAL,18,9,0.27451806127768924,0.4659082423427303,-0.19139018106504108,-0.22572882351901233,0.6347128205710029,0.5714265923353438,0.7705648791191423,0.5714265923353438,False
ENTER_NOW,NEUTRAL,8,9,0.22079469957049563,0.4659082423427303,-0.24511354277223468,-0.31326546927717525,0.5121644881810103,0.09199415528029568,0.7705648791191423,0.2658642044454401,False
