feature,beta_std,se,t,p,sig
risk_reward_ratio,0.0026548981341090053,0.007270689840987908,0.36515078928855393,0.7154608870705492,
drop_percent,0.006310120033914271,0.006861399032704771,0.919655015520474,0.3590795339242363,
Rank,-0.018469221288323835,0.018349529379850415,-1.0065228870994836,0.31562025965222484,
quant_score,-0.012389813144488497,0.01740824315657551,-0.7117210526674295,0.47763055281610334,
sa_score,0.013444791749511185,0.0066806197473065826,2.0125066622646357,0.04577352010544544,  ✓
ws_score,0.022505419486646215,0.006669126236663258,3.3745679250939293,0.0009192725712032779,  ✓
perf_6m,0.015380714503627041,0.007952642839569242,1.934038132216704,0.054799055596622015,
intent_ENTER_LIMIT,-0.017761193377594776,0.021039013434604282,-0.8442027680053545,0.3997638025099399,
intent_ENTER_NOW,0.011386159528846827,0.021080771997168807,0.5401206146708485,0.5898333998745868,
intent_NEUTRAL,-0.018445317843583886,0.018305556615198997,-1.0076349073302062,0.3150875121192098,
