tp_pct,sl_pct,n,n_tp,n_sl,n_timeout,total_gross_eur,total_net_eur,roi,win_rate
0.01,0.01,18,7,10,1,-22.500027509836073,-130.50002750983606,-0.0096666687044323,0.3888888888888889
0.01,0.015,18,11,6,1,14.999972490163923,-93.00002750983607,-0.006888890926654524,0.6111111111111112
0.01,0.02,18,11,6,1,-7.500027509836073,-115.50002750983607,-0.008555557593321191,0.6111111111111112
0.01,0.025,18,12,5,1,-3.750027509836073,-111.75002750983607,-0.008277779815543413,0.6666666666666666
0.01,0.03,18,12,5,1,-22.500027509836073,-130.50002750983606,-0.0096666687044323,0.6666666666666666
0.01,0.035,18,12,5,1,-41.25002750983609,-149.25002750983606,-0.01105555759332119,0.6666666666666666
0.01,0.04,18,13,4,1,-22.500027509836073,-130.50002750983606,-0.0096666687044323,0.7222222222222222
0.01,0.045,18,14,3,1,3.749972490163927,-104.25002750983607,-0.007722224259987857,0.7777777777777778
0.01,0.05,18,14,3,1,-7.500027509836073,-115.50002750983607,-0.008555557593321191,0.7777777777777778
0.01,0.055,18,14,3,1,-18.750027509836073,-126.75002750983606,-0.009388890926654523,0.7777777777777778
0.01,0.06,18,14,3,1,-30.000027509836073,-138.00002750983606,-0.010222224259987856,0.7777777777777778
0.01,0.065,18,14,3,1,-41.25002750983607,-149.25002750983606,-0.01105555759332119,0.7777777777777778
0.01,0.07,18,14,3,1,-52.50002750983609,-160.5000275098361,-0.011888890926654525,0.7777777777777778
0.01,0.075,18,14,2,2,-33.9962320168337,-141.9962320168337,-0.010518239408654347,0.7777777777777778
0.01,0.08,18,14,2,2,-41.4962320168337,-149.49623201683372,-0.011073794964209904,0.7777777777777778
0.01,0.085,18,15,1,2,22.253767983166284,-85.7462320168337,-0.006351572741987682,0.8333333333333334
0.01,0.09,18,15,1,2,18.50376798316629,-89.4962320168337,-0.006629350519765459,0.8333333333333334
0.01,0.095,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.1,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.105,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.11,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.115,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.12,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.125,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.13,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.135,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.14,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.145,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.01,0.15,18,16,0,2,93.5037679831663,-14.496232016833705,-0.001073794964209904,0.8888888888888888
0.015,0.01,18,7,10,1,3.749972490163927,-104.25002750983607,-0.007722224259987857,0.3888888888888889
0.015,0.015,18,11,6,1,56.24997249016393,-51.75002750983607,-0.003833335371098968,0.6111111111111112
0.015,0.02,18,11,6,1,33.74997249016393,-74.25002750983607,-0.005500002037765635,0.6111111111111112
0.015,0.025,18,12,5,1,41.24997249016393,-66.75002750983607,-0.004944446482210079,0.6666666666666666
0.015,0.03,18,12,5,1,22.499972490163927,-85.50002750983607,-0.006333335371098968,0.6666666666666666
0.015,0.035,18,12,5,1,3.7499724901639055,-104.25002750983607,-0.007722224259987857,0.6666666666666666
0.015,0.04,18,13,4,1,26.249972490163927,-81.75002750983607,-0.00605555759332119,0.7222222222222222
0.015,0.045,18,14,3,1,56.24997249016393,-51.75002750983607,-0.003833335371098968,0.7777777777777778
0.015,0.05,18,14,3,1,44.99997249016393,-63.00002750983607,-0.004666668704432302,0.7777777777777778
0.015,0.055,18,14,3,1,33.74997249016393,-74.25002750983607,-0.005500002037765635,0.7777777777777778
0.015,0.06,18,14,3,1,22.499972490163927,-85.50002750983607,-0.006333335371098968,0.7777777777777778
0.015,0.065,18,14,3,1,11.249972490163927,-96.75002750983606,-0.007166668704432301,0.7777777777777778
0.015,0.07,18,14,3,1,-2.750983608734714e-05,-108.00002750983609,-0.008000002037765637,0.7777777777777778
0.015,0.075,18,14,2,2,18.5037679831663,-89.4962320168337,-0.006629350519765459,0.7777777777777778
0.015,0.08,18,14,2,2,11.003767983166298,-96.99623201683369,-0.007184906075321014,0.7777777777777778
0.015,0.085,18,15,1,2,78.50376798316628,-29.4962320168337,-0.002184906075321015,0.8333333333333334
0.015,0.09,18,15,1,2,74.7537679831663,-33.2462320168337,-0.002462683853098793,0.8333333333333334
0.015,0.095,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.1,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.105,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.11,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.115,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.12,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.125,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.13,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.135,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.14,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.145,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.015,0.15,18,16,0,2,153.5037679831663,45.5037679831663,0.003370649480234541,0.8888888888888888
0.02,0.01,18,7,10,1,29.999972490163927,-78.00002750983607,-0.0057777798155434126,0.3888888888888889
0.02,0.015,18,10,7,1,71.24997249016393,-36.75002750983607,-0.0027222242599878573,0.5555555555555556
0.02,0.02,18,10,7,1,44.99997249016393,-63.00002750983607,-0.004666668704432302,0.5555555555555556
0.02,0.025,18,11,6,1,52.49997249016393,-55.50002750983607,-0.0041111131488767464,0.6111111111111112
