group,n_total,n_recovered,recovery_rate,recovery_rate_se,recovery_rate_ci_low,recovery_rate_ci_high,p25_days,p50_days,p75_days,p90_days,post_recover_5d_mean,post_recover_5d_se,post_recover_5d_ci_low,post_recover_5d_ci_high,post_recover_10d_mean,post_recover_10d_se,post_recover_10d_ci_low,post_recover_10d_ci_high,post_recover_20d_mean,post_recover_20d_se,post_recover_20d_ci_low,post_recover_20d_ci_high
nan,303,146,0.48184818481848185,0.0287053146265167,0.4261668767369019,0.5379839911338314,0.0,2.0,6.0,9.5,0.005508901599941222,0.008551043323743554,-0.011442544482249451,0.022460347682131895,-0.002973600078049822,0.012511753910226738,-0.02796129811263552,0.022014097956535875,0.26123338641983057,0.08033016416069966,0.054738125574652796,0.46772864726500835
BUY_LIMIT,32,13,0.40625,0.08682074519880027,0.2551963484266544,0.5773997512461713,0.0,4.0,5.0,10.400000000000002,0.05132471739299921,0.028952384995971216,-0.017136794309925388,0.1197862290959238,0.018968012323412966,0.022429082686791717,-0.035913975913208135,0.07385000056003406,0.15578727445064627,0.03285888825475559,-0.26172448712582214,0.5732990360271146
AVOID,27,9,0.3333333333333333,0.09072184232530289,0.18643261498715644,0.5217523949267991,0.0,0.0,4.0,7.2,0.055629362204391165,0.03550114138703243,-0.04293760802857,0.15419633243735234,0.04415285461706565,0.030679765943720173,-0.08785152406712068,0.17615723330125196,0.15450929771171704,0.06625894709327708,-0.6873904496758838,0.9964090450993179
BUY,9,5,0.5555555555555556,0.16563466499998442,0.26665129349549305,0.8112214789023355,0.0,2.0,3.0,6.0,0.023796698039172375,0.030495527848019358,-0.10741496809963282,0.15500836417797756,0.029690805897945434,0.015038805321548873,-0.16139533350899907,0.22077694530488992,,,,
WATCH,1,1,1.0,0.0,0.20654931437723745,1.0,0.0,0.0,0.0,0.0,-0.00407704614044675,,,,,,,,,,,
