group,n_total,n_recovered,recovery_rate,recovery_rate_se,recovery_rate_ci_low,recovery_rate_ci_high,p25_days,p50_days,p75_days,p90_days,post_recover_5d_mean,post_recover_5d_se,post_recover_5d_ci_low,post_recover_5d_ci_high,post_recover_10d_mean,post_recover_10d_se,post_recover_10d_ci_low,post_recover_10d_ci_high,post_recover_20d_mean,post_recover_20d_se,post_recover_20d_ci_low,post_recover_20d_ci_high
AVOID,192,93,0.484375,0.03606676818870974,0.41468797555276693,0.5546749977618192,0.0,2.0,4.0,8.0,0.010414301396252776,0.011549485565479406,-0.012626291879447584,0.03345489467195314,-0.0056583566968918505,0.015055946536838262,-0.03591441402886375,0.024597700635080048,0.3317826250309245,0.10126709058702435,0.009505546745362081,0.6540597033164869
NEUTRAL,75,41,0.5466666666666666,0.05748300876168797,0.4344837385429269,0.6543020361586779,1.0,4.0,8.0,10.0,-0.00578135846306732,0.013967678462723248,-0.034492332732692955,0.022929615806558314,0.002474287910207568,0.03064080265289211,-0.06818352971333641,0.07313210553375155,0.04664533929904875,,,
ENTER_NOW,53,23,0.4339622641509434,0.06807861956839538,0.30950396559750293,0.5673464857239271,0.0,1.0,4.5,7.800000000000001,0.03309680396800197,0.01974568515422305,-0.009561155339529046,0.07575476327553299,0.020153679808220092,0.0165373720622091,-0.017256454857089484,0.057563814473529665,0.16588825270961197,0.03991110923223444,-0.00583539037366243,0.33761189579288636
ENTER_LIMIT,52,17,0.3269230769230769,0.06505092364658288,0.21522074458569176,0.4624381063802606,0.0,1.0,5.0,10.8,0.022482806867840547,0.02111525513807582,-0.023133928505635813,0.06809954224131691,0.020830122481134878,0.02695466947377319,-0.0413274567884476,0.08298770175071735,0.15827643264606361,0.03534804645017293,-0.29086308258274535,0.6074159478748726
