deep_research_verdict,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
,29,0.6896551724137931,0.08590911709007583,0.5076986576690685,0.8272438325551679,0.3441469980314886,0.14975430538504125,0.03738920936618412,0.6509047866967932,0.0659401205212862,0.8064516150763973
BUY_LIMIT,6,1.0,0.0,0.6096657120978346,1.0,0.3347477432019648,0.17199834102427072,-0.10738806799460576,0.7768835543985354,0.17316610239269858,0.4213081721146742
AVOID,3,1.0,0.0,0.4385029682449546,1.0,0.15247248252410706,0.03830880760018594,-0.012357013068237305,0.31730197811645144,0.14839887139127547,0.0663528011409028
BUY,1,0.0,0.0,0.0,0.7934506856227626,-0.06477415023311492,,,,-0.06477415023311492,
