bucket,count,win_rate,win_rate_se,win_rate_ci_low,win_rate_ci_high,avg_return,avg_return_se,avg_return_ci_low,avg_return_ci_high,median_return,std_return
<1,4,1.0,0.0,0.5101091635454027,1.0,0.2269435490162935,0.043103640143985225,0.08976852869576527,0.36411856933682174,0.2179979937211472,0.08620728028797045
2-3,3,1.0,0.0,0.4385029682449546,1.0,0.45343210217798235,0.359045257928589,-1.0914149569329163,1.998279161288881,0.14839887139127547,0.6218846289489883
1-2,2,0.5,0.3535533905932738,0.09453120573423074,0.9054687942657693,0.022404458056679497,0.08717860828979442,-1.0853047875106645,1.1301137036240236,0.022404458056679497,0.1232891701922388
>=3,0,,,,,,,,,,
